MovieID,Title
m1063,Johns (1996)
m1064,Aladdin and the King of Thieves (1996)
m1066,Shall We Dance? (1937)
m1067,"Damsel in Distress, A (1937)"
m1068,Crossfire (1947)
m1069,"Murder, My Sweet (1944)"
m107,Muppet Treasure Island (1996)
m1070,Macao (1952)
m1071,For the Moment (1994)
m1073,Willy Wonka and the Chocolate Factory (1971)
m1076,"Innocents, The (1961)"
m1077,Sleeper (1973)
m1078,Bananas (1971)
m1079,"Fish Called Wanda, A (1988)"
m108,Catwalk (1995)
m1080,Monty Python's Life of Brian (1979)
m1081,Victor/Victoria (1982)
m1082,"Candidate, The (1972)"
m1083,"Great Race, The (1965)"
m1084,Bonnie and Clyde (1967)
m1085,"Old Man and the Sea, The (1958)"
m1086,Dial M for Murder (1954)
m1087,Madame Butterfly (1995)
m1088,Dirty Dancing (1987)
m1089,Reservoir Dogs (1992)
m1090,Platoon (1986)
m1091,Weekend at Bernie's (1989)
m1092,Basic Instinct (1992)
m1093,"Doors, The (1991)"
m1094,"Crying Game, The (1992)"
m1095,Glengarry Glen Ross (1992)
m1096,Sophie's Choice (1982)
m1097,E.T. the Extra-Terrestrial (1982)
m1098,"Search for One-eye Jimmy, The (1996)"
m1099,"Christmas Carol, A (1938)"
m11,"American President, The (1995)"
m110,Braveheart (1995)
m1100,Days of Thunder (1990)
m1101,Top Gun (1986)
m1102,American Strays (1996)
m1103,Rebel Without a Cause (1955)
m1104,"Streetcar Named Desire, A (1951)"
m1105,Children of the Corn IV: The Gathering (1996)
m1107,Loser (1991)
m111,Taxi Driver (1976)
m1111,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)
m1112,Palookaville (1996)
m1113,"Associate, The (1996)"
m1114,"Funeral, The (1996)"
m1115,Sleepover (1995)
m1116,"Single Girl, A (La Fille Seule) (1995)"
m1117,"Eighth Day, The (Le Huitième jour ) (1996)"
m1118,Tashunga (1995)
m1119,Drunks (1997)
m112,Rumble in the Bronx (1995)
m1120,"People vs. Larry Flynt, The (1996)"
m1121,Glory Daze (1996)
m1123,"Perfect Candidate, A (1996)"
m1124,On Golden Pond (1981)
m1125,"Return of the Pink Panther, The (1974)"
m1126,Drop Dead Fred (1991)
m1127,"Abyss, The (1989)"
m1128,"Fog, The (1980)"
m1129,Escape from New York (1981)
m113,Before and After (1996)
m1130,"Howling, The (1980)"
m1131,Jean de Florette (1986)
m1132,Manon of the Spring (Manon des sources) (1986)
m1133,Talking About Sex (1994)
m1134,Johnny 100 Pesos (1993)
m1135,Private Benjamin (1980)
m1136,Monty Python and the Holy Grail (1974)
m1138,Dadetown (1995)
m1139,Everything Relative (1996)
m114,Margaret's Museum (1995)
m1142,Get Over It (1996)
m1144,"Line King: Al Hirschfeld, The (1996)"
m1145,Snowriders (1996)
m1147,When We Were Kings (1996)
m1148,"Wrong Trousers, The (1993)"
m1149,JLG/JLG - autoportrait de décembre (1994)
m1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)"
m1151,Faust (1994)
m1152,He Walked by Night (1948)
m1153,Raw Deal (1948)
m1154,T-Men (1947)
m116,Anne Frank Remembered (1995)
m1160,Six of a Kind (1934)
m1161,"Tin Drum, The (Blechtrommel, Die) (1979)"
m1162,"Ruling Class, The (1972)"
m1163,Mina Tannenbaum (1994)
m1164,Two or Three Things I Know About Her (1966)
m1165,"Bloody Child, The (1996)"
m1167,Dear God (1996)
m1168,Bad Moon (1996)
m1169,American Dream (1990)
m117,"Young Poisoner's Handbook, The (1995)"
m1170,Best of the Best 3: No Turning Back (1995)
m1171,Bob Roberts (1992)
m1172,Cinema Paradiso (1988)
m1173,"Cook the Thief His Wife & Her Lover, The (1989)"
m1174,Grosse Fatigue (1994)
m1175,Delicatessen (1991)
m1176,"Double Life of Veronique, The (La Double Vie de Véronique) (1991)"
m1177,Enchanted April (1991)
m1178,Paths of Glory (1957)
m1179,"Grifters, The (1990)"
m118,If Lucy Fell (1996)
m1180,Hear My Song (1991)
m1181,"Shooter, The (1995)"
m1183,"English Patient, The (1996)"
m1184,Mediterraneo (1991)
m1185,My Left Foot (1989)
m1186,"Sex, Lies, and Videotape (1989)"
m1187,Passion Fish (1992)
m1188,Strictly Ballroom (1992)
m1189,"Thin Blue Line, The (1988)"
m119,"Steal Big, Steal Little (1995)"
m1190,Tie Me Up! Tie Me Down! (1990)
m1191,Madonna: Truth or Dare (1991)
m1192,Paris Is Burning (1990)
m1193,One Flew Over the Cuckoo's Nest (1975)
m1194,Up in Smoke (1978)
m1196,Star Wars: Episode V - The Empire Strikes Back (1980)
m1197,"Princess Bride, The (1987)"
m1198,Raiders of the Lost Ark (1981)
m1199,Brazil (1985)
m12,Dracula: Dead and Loving It (1995)
m120,Race the Sun (1996)
m1200,Aliens (1986)
m1201,"Good, The Bad and The Ugly, The (1966)"
m1202,Withnail and I (1987)
m1203,12 Angry Men (1957)
m1204,Lawrence of Arabia (1962)
m1205,"Transformers: The Movie, The (1986)"
m1206,"Clockwork Orange, A (1971)"
m1207,To Kill a Mockingbird (1962)
m1208,Apocalypse Now (1979)
m1209,Once Upon a Time in the West (1969)
m121,"Boys of St. Vincent, The (1993)"
m1210,Star Wars: Episode VI - Return of the Jedi (1983)
m1211,Wings of Desire (Der Himmel über Berlin) (1987)
m1212,"Third Man, The (1949)"
m1213,GoodFellas (1990)
m1214,Alien (1979)
m1215,Army of Darkness (1993)
m1216,"Big Blue, The (Le Grand Bleu) (1988)"
m1217,Ran (1985)
m1218,"Killer, The (Die xue shuang xiong) (1989)"
m1219,Psycho (1960)
m122,Boomerang (1992)
m1220,"Blues Brothers, The (1980)"
m1221,"Godfather: Part II, The (1974)"
m1222,Full Metal Jacket (1987)
m1223,"Grand Day Out, A (1992)"
m1224,Henry V (1989)
m1225,Amadeus (1984)
m1226,"Quiet Man, The (1952)"
m1227,Once Upon a Time in America (1984)
m1228,Raging Bull (1980)
m123,Chungking Express (1994)
m1230,Annie Hall (1977)
m1231,"Right Stuff, The (1983)"
m1232,Stalker (1979)
m1233,"Boat, The (Das Boot) (1981)"
m1234,"Sting, The (1973)"
m1235,Harold and Maude (1971)
m1236,Trust (1990)
m1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)"
m1238,Local Hero (1983)
m124,"Star Maker, The (Uomo delle stelle, L') (1995)"
m1240,"Terminator, The (1984)"
m1241,Braindead (1992)
m1242,Glory (1989)
m1243,Rosencrantz and Guildenstern Are Dead (1990)
m1244,Manhattan (1979)
m1245,Miller's Crossing (1990)
m1246,Dead Poets Society (1989)
m1247,"Graduate, The (1967)"
m1248,Touch of Evil (1958)
m1249,Nikita (La Femme Nikita) (1990)
m125,Flirting With Disaster (1996)
m1250,"Bridge on the River Kwai, The (1957)"
m1251,8 1/2 (1963)
m1252,Chinatown (1974)
m1253,"Day the Earth Stood Still, The (1951)"
m1254,"Treasure of the Sierra Madre, The (1948)"
m1255,Bad Taste (1987)
m1256,Duck Soup (1933)
m1257,Better Off Dead... (1985)
m1258,"Shining, The (1980)"
m1259,Stand by Me (1986)
m126,"NeverEnding Story III, The (1994)"
m1260,M (1931)
m1261,Evil Dead II (Dead By Dawn) (1987)
m1262,"Great Escape, The (1963)"
m1263,"Deer Hunter, The (1978)"
m1264,Diva (1981)
m1265,Groundhog Day (1993)
m1266,Unforgiven (1992)
m1267,"Manchurian Candidate, The (1962)"
m1268,Pump Up the Volume (1990)
m1269,Arsenic and Old Lace (1944)
m127,"Silence of the Palace, The (Saimt el Qusur) (1994)"
m1270,Back to the Future (1985)
m1271,Fried Green Tomatoes (1991)
m1272,Patton (1970)
m1273,Down by Law (1986)
m1274,Akira (1988)
m1275,Highlander (1986)
m1276,Cool Hand Luke (1967)
m1277,Cyrano de Bergerac (1990)
m1278,Young Frankenstein (1974)
m1279,Night on Earth (1991)
m128,Jupiter's Wife (1994)
m1280,Raise the Red Lantern (1991)
m1281,"Great Dictator, The (1940)"
m1282,Fantasia (1940)
m1283,High Noon (1952)
m1284,"Big Sleep, The (1946)"
m1285,Heathers (1989)
m1286,Somewhere in Time (1980)
m1287,Ben-Hur (1959)
m1288,This Is Spinal Tap (1984)
m1289,Koyaanisqatsi (1983)
m129,Pie in the Sky (1995)
m1290,Some Kind of Wonderful (1987)
m1291,Indiana Jones and the Last Crusade (1989)
m1292,Being There (1979)
m1293,Gandhi (1982)
m1294,M*A*S*H (1970)
m1295,"Unbearable Lightness of Being, The (1988)"
m1296,"Room with a View, A (1986)"
m1297,Real Genius (1985)
m1298,Pink Floyd - The Wall (1982)
m1299,"Killing Fields, The (1984)"
m13,Balto (1995)
m130,Angela (1995)
m1300,My Life as a Dog (Mitt liv som hund) (1985)
m1301,Forbidden Planet (1956)
m1302,Field of Dreams (1989)
m1303,"Man Who Would Be King, The (1975)"
m1304,Butch Cassidy and the Sundance Kid (1969)
m1305,"Paris, Texas (1984)"
m1306,Until the End of the World (Bis ans Ende der Welt) (1991)
m1307,When Harry Met Sally... (1989)
m131,Frankie Starlight (1995)
m1310,Hype! (1996)
m1311,Santa with Muscles (1996)
m1312,Female Perversions (1996)
m1313,Mad Dog Time (1996)
m1315,Paris Was a Woman (1995)
m1316,Anna (1996)
m1317,I'm Not Rappaport (1996)
m132,Jade (1995)
m1320,Alien³ (1992)
m1321,"American Werewolf in London, An (1981)"
m1322,Amityville 1992: It's About Time (1992)
m1323,Amityville 3-D (1983)
m1324,Amityville: Dollhouse (1996)
m1325,Amityville: A New Generation (1993)
m1326,Amityville II: The Possession (1982)
m1327,"Amityville Horror, The (1979)"
m1328,"Amityville Curse, The (1990)"
m1329,Blood For Dracula (Andy Warhol's Dracula) (1974)
m133,Nueba Yol (1995)
m1330,April Fool's Day (1986)
m1331,Audrey Rose (1977)
m1332,"Believers, The (1987)"
m1333,"Birds, The (1963)"
m1334,"Blob, The (1958)"
m1335,Blood Beach (1981)
m1336,Body Parts (1991)
m1337,"Body Snatcher, The (1945)"
m1339,Bram Stoker's Dracula (1992)
m134,Sonic Outlaws (1995)
m1340,Bride of Frankenstein (1935)
m1341,Burnt Offerings (1976)
m1342,Candyman (1992)
m1343,Cape Fear (1991)
m1344,Cape Fear (1962)
m1345,Carrie (1976)
m1346,Cat People (1982)
m1347,"Nightmare on Elm Street, A (1984)"
m1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)"
m1349,Nosferatu a Venezia (1986)
m135,Down Periscope (1996)
m1350,"Omen, The (1976)"
m1351,Blood & Wine (1997)
m1352,Albino Alligator (1996)
m1353,"Mirror Has Two Faces, The (1996)"
m1354,Breaking the Waves (1996)
m1355,Nightwatch (1997)
m1356,Star Trek: First Contact (1996)
m1357,Shine (1996)
m1358,Sling Blade (1996)
m1359,Jingle All the Way (1996)
m136,From the Journals of Jean Seberg (1995)
m1360,Identification of a Woman (Identificazione di una donna) (1982)
m1361,Paradise Lost: The Child Murders at Robin Hood Hills (1996)
m1362,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)"
m1363,"Preacher's Wife, The (1996)"
m1364,Zero Kelvin (Kjærlighetens kjøtere) (1995)
m1365,Ridicule (1996)
m1366,"Crucible, The (1996)"
m1367,101 Dalmatians (1996)
m1369,I Can't Sleep (J'ai pas sommeil) (1994)
m137,Man of the Year (1995)
m1370,Die Hard 2 (1990)
m1371,Star Trek: The Motion Picture (1979)
m1372,Star Trek VI: The Undiscovered Country (1991)
m1373,Star Trek V: The Final Frontier (1989)
m1374,Star Trek: The Wrath of Khan (1982)
m1375,Star Trek III: The Search for Spock (1984)
m1376,Star Trek IV: The Voyage Home (1986)
m1377,Batman Returns (1992)
m1378,Young Guns (1988)
m1379,Young Guns II (1990)
m138,"Neon Bible, The (1995)"
m1380,Grease (1978)
m1381,Grease 2 (1982)
m1382,Marked for Death (1990)
m1383,Adrenalin: Fear the Rush (1996)
m1384,"Substance of Fire, The (1996)"
m1385,Under Siege (1992)
m1386,Terror in a Texas Town (1958)
m1387,Jaws (1975)
m1388,Jaws 2 (1978)
m1389,Jaws 3-D (1983)
m139,Target (1995)
m1390,My Fellow Americans (1996)
m1391,Mars Attacks! (1996)
m1392,Citizen Ruth (1996)
m1393,Jerry Maguire (1996)
m1394,Raising Arizona (1987)
m1395,Tin Men (1987)
m1396,Sneakers (1992)
m1397,Bastard Out of Carolina (1996)
m1398,In Love and War (1996)
m1399,Marvin's Room (1996)
m14,Nixon (1995)
m140,Up Close and Personal (1996)
m1401,Ghosts of Mississippi (1996)
m1404,Night Falls on Manhattan (1997)
m1405,Beavis and Butt-head Do America (1996)
m1406,"Cérémonie, La (1995)"
m1407,Scream (1996)
m1408,"Last of the Mohicans, The (1992)"
m1409,Michael (1996)
m141,"Birdcage, The (1996)"
m1410,"Evening Star, The (1996)"
m1411,Hamlet (1996)
m1412,Some Mother's Son (1996)
m1413,"Whole Wide World, The (1996)"
m1414,Mother (1996)
m1415,"Thieves (Voleurs, Les) (1996)"
m1416,Evita (1996)
m1417,"Portrait of a Lady, The (1996)"
m1419,Walkabout (1971)
m142,Shadows (Cienie) (1988)
m1420,Message to Love: The Isle of Wight Festival (1996)
m1421,Grateful Dead (1995)
m1422,Murder at 1600 (1997)
m1423,Hearts and Minds (1996)
m1425,Fierce Creatures (1997)
m1426,Zeus and Roxanne (1997)
m1427,Turbulence (1997)
m1428,Angel Baby (1995)
m1429,Jackie Chan's First Strike (1996)
m1430,Underworld (1997)
m1431,Beverly Hills Ninja (1997)
m1432,Metro (1997)
m1433,"Machine, The (1994)"
m1434,"Stranger, The (1994)"
m1436,Falling in Love Again (1980)
m1437,"Cement Garden, The (1993)"
m1438,Dante's Peak (1997)
m1439,Meet Wally Sparks (1997)
m144,"Brothers McMullen, The (1995)"
m1440,Amos & Andrew (1993)
m1441,Benny & Joon (1993)
m1442,Prefontaine (1997)
m1444,Guantanamera (1994)
m1445,McHale's Navy (1997)
m1446,Kolya (1996)
m1447,Gridlock'd (1997)
m1449,Waiting for Guffman (1996)
m145,Bad Boys (1995)
m1450,Prisoner of the Mountains (Kavkazsky Plennik) (1996)
m1453,"Beautician and the Beast, The (1997)"
m1454,SubUrbia (1997)
m1455,Hotel de Love (1996)
m1456,"Pest, The (1997)"
m1457,Fools Rush In (1997)
m1458,Touch (1997)
m1459,Absolute Power (1997)
m146,"Amazing Panda Adventure, The (1995)"
m1460,That Darn Cat! (1997)
m1461,Vegas Vacation (1997)
m1463,That Old Feeling (1997)
m1464,Lost Highway (1997)
m1465,Rosewood (1997)
m1466,Donnie Brasco (1997)
m1468,Booty Call (1997)
m147,"Basketball Diaries, The (1995)"
m1470,Rhyme & Reason (1997)
m1471,Boys Life 2 (1997)
m1472,City of Industry (1997)
m1473,Best Men (1997)
m1474,Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997)
m1475,Kama Sutra: A Tale of Love (1996)
m1476,Private Parts (1997)
m1477,Love Jones (1997)
m1479,"Saint, The (1997)"
m148,"Awfully Big Adventure, An (1995)"
m1480,Smilla's Sense of Snow (1997)
m1482,"Van, The (1996)"
m1483,Crash (1996)
m1484,"Daytrippers, The (1996)"
m1485,Liar Liar (1997)
m1486,"Quiet Room, The (1996)"
m1487,Selena (1997)
m1488,"Devil's Own, The (1997)"
m1489,Cats Don't Dance (1997)
m149,Amateur (1994)
m1490,B*A*P*S (1997)
m1493,Love and Other Catastrophes (1996)
m1494,"Sixth Man, The (1997)"
m1495,Turbo: A Power Rangers Movie (1997)
m1496,Anna Karenina (1997)
m1497,Double Team (1997)
m1498,Inventing the Abbotts (1997)
m1499,Anaconda (1997)
m15,Cutthroat Island (1995)
m150,Apollo 13 (1995)
m1500,Grosse Pointe Blank (1997)
m1501,Keys to Tulsa (1997)
m1502,Kissed (1996)
m1503,8 Heads in a Duffel Bag (1997)
m1504,Hollow Reed (1996)
m1507,Paradise Road (1997)
m1508,Traveller (1997)
m1509,All Over Me (1997)
m151,Rob Roy (1995)
m1510,"Brother's Kiss, A (1997)"
m1511,A Chef in Love (1996)
m1513,Romy and Michele's High School Reunion (1997)
m1514,Temptress Moon (Feng Yue) (1996)
m1515,Volcano (1997)
m1516,Children of the Revolution (1996)
m1517,Austin Powers: International Man of Mystery (1997)
m1518,Breakdown (1997)
m1519,Broken English (1996)
m152,"Addiction, The (1995)"
m1520,Commandments (1997)
m1522,Ripe (1996)
m1523,"Truth or Consequences, N.M. (1997)"
m1525,Warriors of Virtue (1997)
m1526,Fathers' Day (1997)
m1527,"Fifth Element, The (1997)"
m1528,Intimate Relations (1996)
m1529,Nowhere (1997)
m153,Batman Forever (1995)
m1531,Losing Chase (1996)
m1532,Sprung (1997)
m1533,"Promise, The (La Promesse) (1996)"
m1534,"Bonheur, Le (1965)"
m1535,Love! Valour! Compassion! (1997)
m1537,Shall We Dance? (Shall We Dansu?) (1996)
m1538,"Second Jungle Book: Mowgli & Baloo, The (1997)"
m1539,Twin Town (1997)
m154,Belle de jour (1967)
m1541,Addicted to Love (1997)
m1542,Brassed Off (1996)
m1543,"Designated Mourner, The (1997)"
m1544,"Lost World: Jurassic Park, The (1997)"
m1545,Ponette (1996)
m1546,Schizopolis (1996)
m1547,Shiloh (1997)
m1548,"War at Home, The (1996)"
m1549,Rough Magic (1995)
m155,Beyond Rangoon (1995)
m1550,Trial and Error (1997)
m1551,Buddy (1997)
m1552,Con Air (1997)
m1553,Late Bloomers (1996)
m1554,"Pillow Book, The (1995)"
m1555,"To Have, or Not (1995)"
m1556,Speed 2: Cruise Control (1997)
m1558,Sudden Manhattan (1996)
m156,Blue in the Face (1995)
m1561,Wedding Bell Blues (1996)
m1562,Batman & Robin (1997)
m1563,Dream With the Fishes (1997)
m1564,Roseanna's Grave (For Roseanna) (1997)
m1565,Head Above Water (1996)
m1566,Hercules (1997)
m1567,"Last Time I Committed Suicide, The (1997)"
m1569,My Best Friend's Wedding (1997)
m157,Canadian Bacon (1994)
m1570,Tetsuo II: Body Hammer (1992)
m1571,When the Cats Away (Chacun cherche son chat) (1996)
m1572,Contempt (Le Mépris) (1963)
m1573,Face/Off (1997)
m1574,Fall (1997)
m1575,Gabbeh (1996)
m1579,For Ever Mozart (1996)
m158,Casper (1995)
m1580,Men in Black (1997)
m1581,Out to Sea (1997)
m1582,Wild America (1997)
m1583,"Simple Wish, A (1997)"
m1584,Contact (1997)
m1585,Love Serenade (1996)
m1586,G.I. Jane (1997)
m1587,Conan the Barbarian (1982)
m1588,George of the Jungle (1997)
m1589,Cop Land (1997)
m159,Clockers (1995)
m1590,Event Horizon (1997)
m1591,Spawn (1997)
m1592,Air Bud (1997)
m1593,Picture Perfect (1997)
m1594,In the Company of Men (1997)
m1595,Free Willy 3: The Rescue (1997)
m1596,Career Girls (1997)
m1597,Conspiracy Theory (1997)
m1598,Desperate Measures (1998)
m1599,Steel (1997)
m16,Casino (1995)
m160,Congo (1995)
m1600,She's So Lovely (1997)
m1601,Hoodlum (1997)
m1602,Leave It to Beaver (1997)
m1603,Mimic (1997)
m1604,Money Talks (1997)
m1605,Excess Baggage (1997)
m1606,Kull the Conqueror (1997)
m1608,Air Force One (1997)
m1609,187 (1997)
m161,Crimson Tide (1995)
m1610,"Hunt for Red October, The (1990)"
m1611,My Own Private Idaho (1991)
m1612,"Kiss Me, Guido (1997)"
m1613,Star Maps (1997)
m1614,In & Out (1997)
m1615,"Edge, The (1997)"
m1616,"Peacemaker, The (1997)"
m1617,L.A. Confidential (1997)
m1619,Seven Years in Tibet (1997)
m162,Crumb (1994)
m1620,Kiss the Girls (1997)
m1621,Soul Food (1997)
m1622,Kicked in the Head (1997)
m1623,Wishmaster (1997)
m1624,"Thousand Acres, A (1997)"
m1625,"Game, The (1997)"
m1626,Fire Down Below (1997)
m1627,U Turn (1997)
m1629,"MatchMaker, The (1997)"
m163,Desperado (1995)
m1630,"Lay of the Land, The (1997)"
m1631,"Assignment, The (1997)"
m1632,"Smile Like Yours, A (1997)"
m1633,Ulee's Gold (1997)
m1635,"Ice Storm, The (1997)"
m1636,Stag (1997)
m1639,Chasing Amy (1997)
m164,Devil in a Blue Dress (1995)
m1640,How to Be a Player (1997)
m1641,"Full Monty, The (1997)"
m1642,Indian Summer (a.k.a. Alive & Kicking) (1996)
m1643,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"
m1644,I Know What You Did Last Summer (1997)
m1645,"Devil's Advocate, The (1997)"
m1646,Rocket Man (1997)
m1647,Playing God (1997)
m1648,"House of Yes, The (1997)"
m1649,"Fast, Cheap & Out of Control (1997)"
m165,Die Hard: With a Vengeance (1995)
m1650,Washington Square (1997)
m1651,Telling Lies in America (1997)
m1652,Year of the Horse (1997)
m1653,Gattaca (1997)
m1654,FairyTale: A True Story (1997)
m1655,Phantoms (1998)
m1656,Swept from the Sea (1997)
m1657,Wonderland (1997)
m1658,"Life Less Ordinary, A (1997)"
m1659,Hurricane Streets (1998)
m166,"Doom Generation, The (1995)"
m1660,Eve's Bayou (1997)
m1661,Switchback (1997)
m1662,Gang Related (1997)
m1663,Stripes (1981)
m1664,Nénette et Boni (1996)
m1665,Bean (1997)
m1666,Hugo Pool (1997)
m1667,Mad City (1997)
m1668,One Night Stand (1997)
m1669,"Tango Lesson, The (1997)"
m167,Feast of July (1995)
m1670,Welcome To Sarajevo (1997)
m1671,Deceiver (1997)
m1672,"Rainmaker, The (1997)"
m1673,Boogie Nights (1997)
m1674,Witness (1985)
m1675,Incognito (1997)
m1676,Starship Troopers (1997)
m1677,Critical Care (1997)
m1678,"Joy Luck Club, The (1993)"
m1679,Chairman of the Board (1998)
m168,First Knight (1995)
m1680,Sliding Doors (1998)
m1681,Mortal Kombat: Annihilation (1997)
m1682,"Truman Show, The (1998)"
m1683,"Wings of the Dove, The (1997)"
m1684,Mrs. Dalloway (1997)
m1685,"I Love You, I Love You Not (1996)"
m1686,Red Corner (1997)
m1687,"Jackal, The (1997)"
m1688,Anastasia (1997)
m1689,"Man Who Knew Too Little, The (1997)"
m169,Free Willy 2: The Adventure Home (1995)
m1690,Alien: Resurrection (1997)
m1692,Alien Escape (1995)
m1693,Amistad (1997)
m1694,"Apostle, The (1997)"
m1695,Artemisia (1997)
m1696,Bent (1997)
m1699,"Butcher Boy, The (1998)"
m17,Sense and Sensibility (1995)
m170,Hackers (1995)
m1701,Deconstructing Harry (1997)
m1702,Flubber (1997)
m1703,For Richer or Poorer (1997)
m1704,Good Will Hunting (1997)
m1707,Home Alone 3 (1997)
m1709,Legal Deceit (1997)
m171,Jeffrey (1995)
m1711,Midnight in the Garden of Good and Evil (1997)
m1713,Mouse Hunt (1997)
m1714,Never Met Picasso (1996)
m1715,Office Killer (1997)
m1717,Scream 2 (1997)
m1718,Stranger in the House (1997)
m1719,"Sweet Hereafter, The (1997)"
m172,Johnny Mnemonic (1995)
m1720,Time Tracers (1995)
m1721,Titanic (1997)
m1722,Tomorrow Never Dies (1997)
m1724,Full Speed (1996)
m1725,"Education of Little Tree, The (1997)"
m1726,"Postman, The (1997)"
m1727,"Horse Whisperer, The (1998)"
m1728,"Winter Guest, The (1997)"
m1729,Jackie Brown (1997)
m173,Judge Dredd (1995)
m1730,Kundun (1997)
m1731,Mr. Magoo (1997)
m1732,"Big Lebowski, The (1998)"
m1733,Afterglow (1997)
m1734,My Life in Pink (Ma vie en rose) (1997)
m1735,Great Expectations (1998)
m1739,3 Ninjas: High Noon On Mega Mountain (1998)
m174,Jury Duty (1995)
m1741,"Midaq Alley (Callejón de los milagros, El) (1995)"
m1743,Arguing the World (1996)
m1744,Firestorm (1998)
m1746,Senseless (1998)
m1747,Wag the Dog (1997)
m1748,Dark City (1998)
m1749,"Leading Man, The (1996)"
m175,Kids (1995)
m1750,Star Kid (1997)
m1752,Hard Rain (1998)
m1753,Half Baked (1998)
m1754,Fallen (1998)
m1755,Shooting Fish (1997)
m1756,"Prophecy II, The (1998)"
m1758,Dangerous Beauty (1998)
m1759,Four Days in September (1997)
m176,Living in Oblivion (1995)
m1760,Spice World (1997)
m1762,Deep Rising (1998)
m1764,Tainted (1998)
m1767,Music From Another Room (1998)
m1769,"Replacement Killers, The (1998)"
m177,Lord of Illusions (1995)
m1770,B. Monkey (1998)
m1771,Night Flier (1997)
m1772,Blues Brothers 2000 (1998)
m1773,Tokyo Fist (1995)
m1777,"Wedding Singer, The (1998)"
m1779,Sphere (1998)
m178,Love & Human Remains (1993)
m1780,Ayn Rand: A Sense of Life (1997)
m1782,Little City (1998)
m1783,Palmetto (1998)
m1784,As Good As It Gets (1997)
m1785,King of New York (1990)
m1787,"Paralyzing Fear: The Story of Polio in America, A (1998)"
m1788,Men With Guns (1997)
m179,Mad Love (1995)
m1791,Twilight (1998)
m1792,U.S. Marshalls (1998)
m1793,Welcome to Woop-Woop (1997)
m1794,Love and Death on Long Island (1997)
m1795,"Callejón de los milagros, El (1995)"
m1796,In God's Hands (1998)
m1797,Everest (1998)
m1798,Hush (1998)
m1799,Suicide Kings (1997)
m18,Four Rooms (1995)
m180,Mallrats (1995)
m1801,"Man in the Iron Mask, The (1998)"
m1804,"Newton Boys, The (1998)"
m1805,Wild Things (1998)
m1806,Paulie (1998)
m1807,"Cool Dry Place, A (1998)"
m1809,Hana-bi (1997)
m181,Mighty Morphin Power Rangers: The Movie (1995)
m1810,Primary Colors (1998)
